build,floor,area,hour,full,label
Building 0,,,212,B0 0190 - GC Supervision,Supervision
Building 0,,,200,B0 0195 - GC Stocker/Scrapper,Stocker/Scrapper
Building 0,,,120,B0 2100 - GC Demolition,Demolition
Building 1 North,,,9,B1 5100 - Field House Bldg Ext Frame Layout,Ext Frame Layout
Building 1 North,,,26,B1 5250 - Field House Bldg Ext Track ,Ext Track
Building 1 North,,,57,B1 5400 - Field House Bldg Ext Frame ,Ext Frame
Building 1 North,,,70,B1 5450 - Field House Bldg Sheathing ,Sheathing
Building 1 North,,,83,B1 5460 - Field House Bldg Ext Firetape ,Ext Firetape
Building 1 North,,,11,B1 9200 - Field House Bldg Int Layout,Int Layout
Building 1 North,,,110,B1 9201 - Field House Bldg Int Frame ,Int Frame
Building 1 North,,,60,B1 9202 - Field House Bldg Int Track ,Int Track
Building 1 North,,,24,B1 9206 - Field House Bldg Int Backing ,Int Backing
Building 1 North,,,214,B1 9215 - Field House Bldg Int Frame Ceilings,Int Frame Ceilings
Building 1 North,,,146,B1 9240 - Field House Bldg Drywall Top Out ,Drywall Top Out
Building 1 North,,,73,B1 9250 - Field House Bldg Drywall Hang ,Drywall Hang
Building 1 North,,,23,B1 9255 - Field House Bldg Ceiling Hang ,Ceiling Hang
Building 1 North,,,457,B1 9280 - Field House Bldg Tape Walls ,Tape Walls
Building 1 North,,,77,B1 9285 - Field House Bldg Tape Ceilings ,Tape Ceilings
Building 2 South,,,0,B2 5100 - Softball Clubhouse Ext Frame Layout,Ext Frame Layout
Building 2 South,,,0,B2 5250 - Softball Clubhouse Ext Track ,Ext Track
Building 2 South,,,0,B2 5400 - Softball Clubhouse Ext Frame ,Ext Frame
Building 2 South,,,0,B2 5450 - Softball Clubhouse Sheathing ,Sheathing
Building 2 South,,,0,B2 5460 - Softball Clubhouse Ext Firetape ,Ext Firetape
Building 2 South,,,0,B2 9200 - Softball Clubhouse Int Layout,Int Layout
Building 2 South,,,0,B2 9201 - Softball Clubhouse Int Frame ,Int Frame
Building 2 South,,,0,B2 9202 - Softball Clubhouse Int Track ,Int Track
Building 2 South,,,0,B2 9206 - Softball Clubhouse Int Backing ,Int Backing
Building 2 South,,,21,B2 9215 - Softball Clubhouse Int Frame Ceilings L,Int Frame Ceilings L
Building 2 South,,,0,B2 9240 - Softball Clubhouse Drywall Top Out,Drywall Top Out
Building 2 South,,,0,B2 9250 - Softball Clubhouse Drywall Hang ,Drywall Hang
Building 2 South,,,3,B2 9255 - Softball Clubhouse Ceiling Hang ,Ceiling Hang
Building 2 South,,,0,B2 9280 - Softball Clubhouse Tape Walls ,Tape Walls
Building 2 South,,,25,B2 9285 - Softball Clubhouse Tape Ceilings ,Tape Ceilings
Building 3,,,0,B3 5100 - Baseball Clubhouse Ext Frame Layout,Ext Frame Layout
Building 3,,,0,B3 5250 - Baseball Clubhouse Ext Track ,Ext Track
Building 3,,,0,B3 5400 - Baseball Clubhouse Ext Frame ,Ext Frame
Building 3,,,0,B3 5450 - Baseball Clubhouse Sheathing ,Sheathing
Building 3,,,0,B3 5460 - Baseball Clubhouse Ext Firetape ,Ext Firetape
Building 3,,,0,B3 9200 - Baseball Clubhouse Int Layout,Int Layout
Building 3,,,0,B3 9201 - Baseball Clubhouse Int Frame ,Int Frame
Building 3,,,0,B3 9202 - Baseball Clubhouse Int Track ,Int Track
Building 3,,,0,B3 9206 - Baseball Clubhouse Int Backing ,Int Backing
Building 3,,,23,B3 9215 - Baseball Clubhouse Int Frame Ceilings ,Int Frame Ceilings
Building 3,,,0,B3 9240 - Baseball Clubhouse Drywall Top Out,Drywall Top Out
Building 3,,,0,B3 9250 - Baseball Clubhouse Drywall Hang ,Drywall Hang
Building 3,,,3,B3 9255 - Baseball Clubhouse Ceiling Hang ,Ceiling Hang
Building 3,,,0,B3 9280 - Baseball Clubhouse Tape Walls ,Tape Walls
Building 3,,,27,B3 9285 - Baseball Clubhouse Tape Ceilings ,Tape Ceilings
Building 4,,,0,B4 5100 - Roof Ext Frame Layout,Ext Frame Layout
Building 4,,,0,B4 5250 - Roof Ext Track ,Ext Track
Building 4,,,0,B4 5400 - Roof Ext Frame ,Ext Frame
Building 4,,,0,B4 5450 - Roof Sheathing ,Sheathing
Building 4,,,0,B4 5460 - Roof Ext Firetape ,Ext Firetape
Building 4,,,321,B4 9215 - Roof Int Frame Ceilings ,Int Frame Ceilings
Building 4,,,30,B4 9255 - Roof Ceiling Hang ,Ceiling Hang
Building 4,,,35,B4 9285 - Roof Tape Ceilings ,Tape Ceilings
