build,floor,area,hour,full,label
Building 1 North,Floor 01,Area A,12,B1 F01 AA 5400 - N FL 01 Area A Int Ext Frame,Ext Frame
Building 1 North,Floor 01,Area A,67,B1 F01 AA 7200 - N FL 01 Area A Int Int Insul,Int Insul
Building 1 North,Floor 01,Area A,14,B1 F01 AA 9200 - N FL 01 Area A Int Int Layou,Int Layou
Building 1 North,Floor 01,Area A,60,B1 F01 AA 9201 - N FL 01 Area A Int Int Frame,Int Frame
Building 1 North,Floor 01,Area A,41,B1 F01 AA 9202 - N FL 01 Area A Int Int Top T,Int Top T
Building 1 North,Floor 01,Area A,8,B1 F01 AA 9203 - N FL 01 Area A Int Int Shaft,Int Shaft
Building 1 North,Floor 01,Area A,29,B1 F01 AA 9206 - N FL 01 Area A Int Int Backi,Int Backi
Building 1 North,Floor 01,Area A,378,B1 F01 AA 9250 - N FL 01 Area A Int Drywall H,Drywall H
Building 1 North,Floor 01,Area A,79,B1 F01 AA 9270 - N FL 01 Area A Int Firetape ,Firetape
Building 1 North,Floor 01,Area A,211,B1 F01 AA 9280 - N FL 01 Area A Int Tape Wall,Tape Wall
Building 1 North,Floor 01,Area A Exterior,4,B1 F01 AE 5390 - N FL 01 Area A Ext Ext ,Ext
Building 1 North,Floor 01,Area A Exterior,48,B1 F01 AE 5400 - N FL 01 Area A Ext Ext Frame,Ext Frame
Building 1 North,Floor 01,Area A Exterior,33,B1 F01 AE 5450 - N FL 01 Area A Ext Sheathing,Sheathing
Building 1 North,Floor 01,Area A Exterior,26,B1 F01 AE 7100 - N FL 01 Area A Ext Ext Insul,Ext Insul
Building 1 North,Floor 01,Area A Exterior,44,B1 F01 AE 9250 - N FL 01 Area A Ext Drywall H,Drywall H
Building 1 North,Floor 01,Area A Exterior,33,B1 F01 AE 9265 - N FL 01 Area A Ext Ext Firet,Ext Firet
Building 1 North,Floor 01,Area A Exterior,12,B1 F01 AE 9270 - N FL 01 Area A Ext Firetape ,Firetape
Building 1 North,Floor 01,Area A Exterior,27,B1 F01 AE 9280 - N FL 01 Area A Ext Tape Wall,Tape Wall
Building 1 North,Floor 01,Area B,10,B1 F01 AB 5400 - N FL 01 Area B Int Ext Frame,Ext Frame
Building 1 North,Floor 01,Area B,65,B1 F01 AB 7200 - N FL 01 Area B Int Int Insul,Int Insul
Building 1 North,Floor 01,Area B,17,B1 F01 AB 9200 - N FL 01 Area B Int Int Layou,Int Layou
Building 1 North,Floor 01,Area B,76,B1 F01 AB 9201 - N FL 01 Area B Int Int Frame,Int Frame
Building 1 North,Floor 01,Area B,49,B1 F01 AB 9202 - N FL 01 Area B Int Int Top T,Int Top T
Building 1 North,Floor 01,Area B,35,B1 F01 AB 9206 - N FL 01 Area B Int Int Backi,Int Backi
Building 1 North,Floor 01,Area B,290,B1 F01 AB 9250 - N FL 01 Area B Int Drywall H,Drywall H
Building 1 North,Floor 01,Area B,97,B1 F01 AB 9270 - N FL 01 Area B Int Firetape ,Firetape
Building 1 North,Floor 01,Area B,216,B1 F01 AB 9280 - N FL 01 Area B Int Tape Wall,Tape Wall
Building 1 North,Floor 01,Area B Exterior,4,B1 F01 AF 5390 - N FL 01 Area B Ext Ext ,Ext
Building 1 North,Floor 01,Area B Exterior,44,B1 F01 AF 5400 - N FL 01 Area B Ext Ext Frame,Ext Frame
Building 1 North,Floor 01,Area B Exterior,30,B1 F01 AF 5450 - N FL 01 Area B Ext Sheathing,Sheathing
Building 1 North,Floor 01,Area B Exterior,24,B1 F01 AF 7100 - N FL 01 Area B Ext Ext Insul,Ext Insul
Building 1 North,Floor 01,Area B Exterior,37,B1 F01 AF 9250 - N FL 01 Area B Ext Drywall H,Drywall H
Building 1 North,Floor 01,Area B Exterior,30,B1 F01 AF 9265 - N FL 01 Area B Ext Ext Firet,Ext Firet
Building 1 North,Floor 01,Area B Exterior,11,B1 F01 AF 9270 - N FL 01 Area B Ext Firetape ,Firetape
Building 1 North,Floor 01,Area B Exterior,24,B1 F01 AF 9280 - N FL 01 Area B Ext Tape Wall,Tape Wall
Building 1 North,Floor 02,Area A,18,B1 F02 AA 5400 - N FL 02 Area A Int Ext Frame,Ext Frame
Building 1 North,Floor 02,Area A,94,B1 F02 AA 7200 - N FL 02 Area A Int Int Insul,Int Insul
Building 1 North,Floor 02,Area A,23,B1 F02 AA 9200 - N FL 02 Area A Int Int Layou,Int Layou
Building 1 North,Floor 02,Area A,180,B1 F02 AA 9201 - N FL 02 Area A Int Int Frame,Int Frame
Building 1 North,Floor 02,Area A,65,B1 F02 AA 9202 - N FL 02 Area A Int Int Top T,Int Top T
Building 1 North,Floor 02,Area A,13,B1 F02 AA 9203 - N FL 02 Area A Int Int Shaft,Int Shaft
Building 1 North,Floor 02,Area A,45,B1 F02 AA 9206 - N FL 02 Area A Int Int Backi,Int Backi
Building 1 North,Floor 02,Area A,573,B1 F02 AA 9250 - N FL 02 Area A Int Drywall H,Drywall H
Building 1 North,Floor 02,Area A,114,B1 F02 AA 9270 - N FL 02 Area A Int Firetape ,Firetape
Building 1 North,Floor 02,Area A,338,B1 F02 AA 9280 - N FL 02 Area A Int Tape Wall,Tape Wall
Building 1 North,Floor 02,Area A Exterior,5,B1 F02 AE 5390 - N FL 02 Area A Ext Ext ,Ext
Building 1 North,Floor 02,Area A Exterior,63,B1 F02 AE 5400 - N FL 02 Area A Ext Ext Frame,Ext Frame
Building 1 North,Floor 02,Area A Exterior,42,B1 F02 AE 5450 - N FL 02 Area A Ext Sheathing,Sheathing
Building 1 North,Floor 02,Area A Exterior,34,B1 F02 AE 7100 - N FL 02 Area A Ext Ext Insul,Ext Insul
Building 1 North,Floor 02,Area A Exterior,56,B1 F02 AE 9250 - N FL 02 Area A Ext Drywall H,Drywall H
Building 1 North,Floor 02,Area A Exterior,43,B1 F02 AE 9265 - N FL 02 Area A Ext Ext Firet,Ext Firet
